ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
42,Aurora Technological & Research Institute,,,AURP,C104,,Unknown,,https://www.aurora.edu.in/,,Rangareddy
43,Aurora University,,,,C336,,Unknown,,https://www.atri.edu.in/,,Unknown
44,Auroras Engineering College,,,AURB,C108,,Unknown,,https://www.aurora.ac.in/,,Hyderabad
45,Auroras Scientific and Technological Institute,,,AURG,C109,,Unknown,,https://www.asti.edu.in/,,Medchal
46,Auroras Scientific Technological & Research Academy,,,AURC,C106,,Unknown,,https://www.astra.edu.in/,,Rangareddy
47,Auroras Technological & Management Academy,,,AURK,C107,,Unknown,,https://www.aurora.in/atma/,,Rangareddy
48,Avanthi Degree and Pg college,,,,C443,,Unknown,,http://avanthicollege.ac.in/,,Rangareddy
49,Avanthi Institute of Engineering & Technology,,,AVEN,C111,,Unknown,,https://aietg.ac.in/,,Bhandara
50,Avanthi Institute of Engineering and Technology,,,AVIH,C110,,Unknown,,https://aietg.ac.in/,,Unknown
51,Avanthis Postgraduate & Research Academy,,,ARPA,C113,,Unknown,,https://www.avanthi.edu.in/program8,,Bhandara
52,Avanthis Scientific Technological & Research Academy,,,ASRA,C112,,Unknown,,https://avanthi.edu.in/ASRA/,,Bhandara
53,Avanthis St. Theressa Institute of Engineering & Technology,,,ASTC,C213,,Unknown,,https://sttheressaengg.ac.in/,,Vizianagaram
54,Avn Institute of Engineering & Technology,,,AVNI,C159,,Unknown,,https://avniet.ac.in/,,Bhandara
55,B V Raju Institiute of Technology,,,BVRI,C033,,Unknown,,https://www.bvricedegree.edu.in/,,Rangareddy
56,B.R Ambedkar College Hyderabad,,,,C468,,Unknown,,https://www.braou.ac.in/#gsc.tab=0,,Rangareddy
57,B.Seetha Polytechnic College,,,SSBV1,C063,,Unknown,,https://seethapoly.edu.in/,,West Godavari
58,B.V.RAJU COLLEGE,,,,C337,,Unknown,,,,West Godavari
59,Bajaj Institute of Technology Wardha,,,,C406,,Unknown,,https://bitwardha.ac.in/,,Wardha
60,Balaji Institute of Technology & Sciences,,,BITN,C114,,Unknown,,https://bitswgl.ac.in/,,Warangal Rural
61,Bapatla Engineering College,,,BECB,C115,,Unknown,,https://becbapatla.ac.in/,,Guntur
62,Bennett University,,,,C353,,Unknown,,,,Gautam Buddha Nagar
63,Bhagwantrao Arts & Science College,,,,C484,,Unknown,,NA,,Gadchiroli
64,Bhai Parmanand Institute of Business Studies,,,,C428,,Unknown,,https://bpibs.in/,,New Delhi
65,Bharat Institute of Engineering and Technology,,,BIET,C082,,Unknown,,https://biet.ac.in/,,Bhandara
66,Bharatiya Engineering Science and Technology Innovation University,,,,C313,,Unknown,,https://bestiu.edu.in/,,Anantapur
67,Bhaskar Engineering College,,,BSKR,C166,,Unknown,,https://www.bec.edu.in/,,Bhandara
68,Bhoj Reddy Engineering College For Women,,,BREW,C255,,Unknown,,http://www.brecw.ac.in/,,Bhandara
69,BIT Institute of Technology,,,BTHP,C240,,Unknown,,,,Anantapur
70,BMS College of Engineering,,,,C395,,Unknown,,bmsce.ac.in,,Bangalore
71,BMS Institute of Technology and Management,,,,C392,,Unknown,,bmsit.ac.in,,Bangalore
72,Bomma Institute of Technology & Science,,,BOMA,C116,,Unknown,,www.bomma.ac.in,,Unknown
73,Brindavan Institute of Technology and Science,,,BRNK,C244,,Unknown,,https://www.bitskurnool.edu.in/,,Kurnool
74,BVC College of Engineering,,,BVCR,C011,,Unknown,,https://bvcr.edu.in/,,East Godavari
75,BVC Engineering College,,,BVCE,C010,,Unknown,,https://bvcec.edu.in/,,East Godavari
76,BVC Institute of Technology and Science,,,BVTS,C025,,Unknown,,https://bvcits.edu.in/,,East Godavari
77,BVRIT HYDERABAD College of Engineering for Women,,,BVRW,C016,,Unknown,,https://bvrithyderabad.edu.in/,,Rangareddy
78,BVSR Engineering College,,,,C421,,Unknown,,https://www.bvsr.ac.in/,,Prakasam
79,"Chaitanya Bharathi Institute of Technology, Proddatur",,,CBTK,C008,,Unknown,,https://www.cbit.ac.in/,,Kadapa
80,Centurion University,,,,C488,,Unknown,,https://cutm.ac.in,,Gajapati
81,Chadalawada Ramanamma Engineering College,,,CHDL,C237,,Unknown,,https://crectirupati.ac.in/,,Chittoor
82,"Chaitanya Bharathi Institute of Technology, Hyderabad",,,CBIT,C006,,Unknown,,https://www.cbit.ac.in/,,Hyderabad
83,Chaitanya Deemed to be University,,,,C444,,Unknown,,chaitanya.edu.in,,Rangareddy
84,Chaitanya Degree & PG  College,,,,C364,,Unknown,,,,Krishna
85,Chaitanya Engineering College,,,CEVP,C126,,Unknown,,https://cec.ac.in/,,Visakhapatnam
86,Chalapathi Institute of Engineering & Technology,,,CIET,C081,,Unknown,,https://chalapathiengg.ac.in/,,Guntur
87,Chalapathi Institute of Technology,,,CITY,C088,,Unknown,,https://city.ac.in/,,Guntur
88,Chandigarh Group Of Colleges Landran,,,,C447,,Unknown,,cgc.edu.in,,Unknown
89,Chandigarh University,,,,C407,,Unknown,,,,Unknown
90,Charotar University Of Science and Technology,,,,C389,,Unknown,,,,Unknown
91,Chitkara University,,,,C386,,Unknown,,,,Unknown
92,Christ University,,,,C400,,Unknown,,,,Bangalore
93,Christu Jyothi Instititute of Technology & Science,,,CJIT,C290,,Unknown,,https://cjits.ac.in/,,Warangal
94,Cleveland state University,,,,C419,,Unknown,,,,Unknown
95,CMR College of Engineering & Technology,,,CMRK,C048,,Unknown,,https://cmrcet.ac.in/,,Unknown
96,CMR Engineering College,,,CMRN,C118,,Unknown,,https://cmrec.ac.in/,,Medchal
97,CMR Institute of Technology,,,CMRM,C119,,Unknown,,https://cmrithyderabad.edu.in/,,Medchal
98,CMR Technical Campus,,,CMRG,C031,,Unknown,,https://cmrtc.ac.in/,,Medchal
99,Coastal Institute of Technology & Management,,,CITM,C215,,Unknown,,https://www.citm.ac.in/,,Vizianagaram
100,"College of Agriculture, Nagpur",,,,C485,,Unknown,,https://www.pdkv.ac.in/?page_id=3739,,Nagpur
101,CVR College of Engineering,,,CVRH,C256,,Unknown,,https://cvr.ac.in/home4/,,Rangareddy
102,Dadi Institute of Engineering & Technology,,,DIET,C217,,Unknown,,https://diet.edu.in/,,Visakhapatnam
103,Dayananda Sagar College of Engineering,,,,C480,,Unknown,,https://www.dsce.edu.in/,,Bangalore
104,DBS Institute of Technology,,,DSIT,C054,,Unknown,,https://www.dbsinstitutions.com/,,Nellore
105,Deccan College of Engineering & Technology,,,DCET,C162,,Unknown,,https://deccancollege.ac.in/,,Hyderabad
106,Devang Patel Institute of Advance Technology and Research,,,,C474,,Unknown,,https://www.charusat.ac.in/depstar/index.html,,Anand
107,Devineni Venkata Ramana Dr Hima Sekhar MIC College of Technology,,,MICT,C024,,Unknown,,https://www.mictech.edu.in/,,Krishna
108,Dhanalakshmi Srinivasan University,,,,C494,,Unknown,,https://www.dsuniversity.ac.in/,,Tiruchirappalli
109,Dhanekula Institute of Engineering and Technology,,,DHAN,C009,,Unknown,,https://diet.ac.in/,,Krishna
110,DNR College of Engineering and Technology,,,DNRE,C120,,Unknown,,https://dnrcet.org/web/,,West Godavari
111,Dr. Ambedkar Institute Of Technology,,,,C399,,Unknown,,drait.edu.in,,Bangalore
