Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
111,AVEN,,Avanthi Institute of Engineering & Technology,C111,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,506,Bhandara,,,,https://aietg.ac.in/,,,,,,
110,AVIH,,Avanthi Institute of Engineering and Technology,C110,,Autonomous,ENGINEERING_COLLEGE,,,36,Telangana,0,,,,,https://aietg.ac.in/,,,,,,
113,ARPA,,Avanthis Postgraduate & Research Academy,C113,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,https://www.avanthi.edu.in/program8,,,,,,
112,ASRA,,Avanthis Scientific Technological & Research Academy,C112,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,https://avanthi.edu.in/ASRA/,,,,,,
213,ASTC,,Avanthis St. Theressa Institute of Engineering & Technology,C213,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,https://sttheressaengg.ac.in/,,,,,,
159,AVNI,,Avn Institute of Engineering & Technology,C159,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,https://avniet.ac.in/,,,,,,
33,BVRI,,B V Raju Institiute of Technology,C033,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Ranga Reddy,,,,https://www.bvricedegree.edu.in/,,,,,,
,,,B.R Ambedkar College Hyderabad,C468,,University,,,,36,Telengana,537,Ranga Reddy,,,,https://www.braou.ac.in/#gsc.tab=0,,,,,,
63,SSBV1,,B.Seetha Polytechnic College,C063,,,POLYTECHNIC_COLLEGE,,,28,Andhra Pradesh,546,West Godavari,,,,https://seethapoly.edu.in/,,,,,,
,,,B.V.RAJU COLLEGE,C337,,Autonomous,,,,28,Andhra Pradesh,546,West Godavari,,,,,,,,,,
,,,Bajaj Institute of Technology Wardha,C406,,Affiliated,,,,27,Maharashtra,504,Wardha,,,,https://bitwardha.ac.in/,,,,,,
114,BITN,,Balaji Institute of Technology & Sciences,C114,,Autonomous,ENGINEERING_COLLEGE,,,36,TS,540918,Warangal Rural,,Warangal,,https://bitswgl.ac.in/,,,,,,
115,BECB,,Bapatla Engineering College,C115,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,548,Guntur,,,,https://becbapatla.ac.in/,,,,,,
,,,Bennett University ,C353,,,,,,9,Uttar Pradesh,141,Gautam Buddha Nagar,,,,,,,,,,
,,,Bhagwantrao Arts & Science College,C484,,Affiliated,,,,27,Maharashtra,508,Gadchiroli,,,,NA,,,,,,
,,,Bhai Parmanand Institute of Business Studies,C428,,Affiliated,,,,7,NCT of Delhi,94,New Delhi,,,,https://bpibs.in/,,,,,,
82,BIET,,Bharat Institute of Engineering and Technology,C082,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,https://biet.ac.in/,,,,,,
,,,Bharatiya Engineering Science and Technology Innovation University ,C313,,University,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,553,Anantapur,,,,https://bestiu.edu.in/,,,,,,
166,BSKR,,Bhaskar Engineering College,C166,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,https://www.bec.edu.in/,,,,,,
255,BREW,,Bhoj Reddy Engineering College For Women,C255,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,506,Bhandara,,,,http://www.brecw.ac.in/,,,,,,
240,BTHP,,BIT Institute of Technology,C240,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,553,Anantapur,,,,,,,,,,
,,,BMS College of Engineering,C395,,Autonomous,,,,29,Karnataka,572,Bangalore,,,,bmsce.ac.in,,,,,,
,,,BMS Institute of Technology and Management,C392,,,,,,29,Karnataka,572,Bangalore,,,,bmsit.ac.in,,,,,,
116,BOMA,,Bomma Institute of Technology & Science,C116,,Affiliated,ENGINEERING_COLLEGE,,,36,Telangana,0,Khammam,"visak,khammam",,,www.bomma.ac.in,,,,,,
