state_code,State,district_code,name,Town Code,Town Name,,,,,,,,,,,,,,,,,,,,
18,Assam,303,Barpeta,801558,Howli,,,,,,,,,,,,,,,,,,,,
18,Assam,303,Barpeta,283322,Patacharkuchi,,,,,,,,,,,,,,,,,,,,
18,Assam,303,Barpeta,801560,Pathsala,,,,,,,,,,,,,,,,,,,,
18,Assam,303,Barpeta,801556,Sarbhog,,,,,,,,,,,,,,,,,,,,
18,Assam,303,Barpeta,801559,Sarthebari,,,,,,,,,,,,,,,,,,,,
18,Assam,924,Biswanath,900160,Sootea,,,,,,,,,,,,,,,,,,,,
18,Assam,319,Bongaigaon,801621,Abhayapuri,,,,,,,,,,,,,,,,,,,,
18,Assam,319,Bongaigaon,801620,Bongaigaon,,,,,,,,,,,,,,,,,,,,
18,Assam,316,Cachar,801615,Lakhipur,,,,,,,,,,,,,,,,,,,,
18,Assam,316,Cachar,801614,Silchar,,,,,,,,,,,,,,,,,,,,
18,Assam,316,Cachar,900032,Sonai,,,,,,,,,,,,,,,,,,,,
18,Assam,320,Chirang,801622,Basugaon,,,,,,,,,,,,,,,,,,,,
18,Assam,320,Chirang,801623,Bijni,,,,,,,,,,,,,,,,,,,,
18,Assam,320,Chirang,900034,Kajalgaon,,,,,,,,,,,,,,,,,,,,
18,Assam,325,Darrang,801631,Kharupatia,,,,,,,,,,,,,,,,,,,,
18,Assam,325,Darrang,801630,Mangaldoi,,,,,,,,,,,,,,,,,,,,
18,Assam,308,Dhemaji,801579,Dhemaji,,,,,,,,,,,,,,,,,,,,
18,Assam,308,Dhemaji,801580,Silapathar,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,801551,Bilasipara,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,801552,Chapar,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,801549,Dhubri,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,801548,Gauripur,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,280885,Golokganj,,,,,,,,,,,,,,,,,,,,
18,Assam,301,Dhubri,801550,Sapatgram,,,,,,,,,,,,,,,,,,,,
18,Assam,310,Dibrugarh,801587,Chabua,,,,,,,,,,,,,,,,,,,,
18,Assam,310,Dibrugarh,801586,Dibrugarh,,,,,,,,,,,,,,,,,,,,
18,Assam,310,Dibrugarh,801588,Naharkatiya,,,,,,,,,,,,,,,,,,,,
18,Assam,310,Dibrugarh,292421,Namrup,,,,,,,,,,,,,,,,,,,,
18,Assam,315,Dima Hasao,801611,Haflong,,,,,,,,,,,,,,,,,,,,
18,Assam,315,Dima Hasao,801612,Mahur,,,,,,,,,,,,,,,,,,,,
18,Assam,315,Dima Hasao,801613,Maibong,,,,,,,,,,,,,,,,,,,,
18,Assam,315,Dima Hasao,801610,Umrangso,,,,,,,,,,,,,,,,,,,,
18,Assam,302,Goalpara,801554,Goalpara,,,,,,,,,,,,,,,,,,,,
18,Assam,302,Goalpara,801553,Lakhipur(TC),,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,801603,Barpathar,,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,801599,Bokakhat,,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,294445,Bokolia,,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,801600,Dergaon,,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,801601,Golaghat,,,,,,,,,,,,,,,,,,,,
18,Assam,313,Golaghat,801602,Sarupathar,,,,,,,,,,,,,,,,,,,,
18,Assam,318,Hailakandi,801618,Hailakandi,,,,,,,,,,,,,,,,,,,,
18,Assam,318,Hailakandi,801619,Lala,,,,,,,,,,,,,,,,,,,,
18,Assam,312,Jorhat,801595,Jorhat,,,,,,,,,,,,,,,,,,,,
18,Assam,312,Jorhat,801598,Mariani,,,,,,,,,,,,,,,,,,,,
18,Assam,312,Jorhat,801596,Teok,,,,,,,,,,,,,,,,,,,,
18,Assam,312,Jorhat,801597,Titabor Town,,,,,,,,,,,,,,,,,,,,
18,Assam,321,Kamrup,801625,Palasbari,,,,,,,,,,,,,,,,,,,,
18,Assam,321,Kamrup,801624,Rangia,,,,,,,,,,,,,,,,,,,,
18,Assam,322,Kamrup Metropolitan,801627,Guwahati,,,,,,,,,,,,,,,,,,,,
18,Assam,322,Kamrup Metropolitan,801626,North Guwahati,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,295449,Baithalangso,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801607,Bokajan,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801606,Diphu,,,,,,,,,,,,,,,,,,,,
18,Assam,314,Karbi Anglong,801609,Dokmoka,,,,,,,,,,,,,,,,,,,,
